account_id,first_name,last_name,birth_date,gender,initial_balance,client_addr,create_date,frequency,bank_id,branch_addr,SAR,alert_id,ip_address,pageRank,hiddenLink,blackHole,Anomaly Score,pageRank_z,hiddenLink_z,blackHole_z,hawalaRanking
1,Emily,Blair,12/13/1990,Female,14452.6,18,3/24/2010,Monthly,EF,18,False,,118.182.155.188,0.001311957,0.0,0.0,1.1095890998840332,2.021867545543443,-0.2090397859759599,-0.1489649172077657,0.5546209474532392
2,Brandon,Yates,02-04-1965,Male,20169.54,1,2/26/2008,Monthly,UV,1,False,,216.111.70.149,0.001190021,0.0,0.0,0.6063417792320251,1.7956317447789636,-0.2090397859759599,-0.1489649172077657,0.47920901386507936
3,Daniel,Norton,12-01-1976,Male,6041.82,5,07-07-2012,Monthly,OP,5,False,,179.31.208.211,0.002857247,0.0,0.0,0.3800461292266845,4.888944705392404,-0.2090397859759599,-0.1489649172077657,1.5103133340695596
4,Christopher,Chambers,9/22/1939,Male,2303.88,12,2/21/2011,Monthly,UV,12,False,,97.50.0.35,0.002503359,0.0,0.0,0.94847172498703,4.232353255279721,-0.2090397859759599,-0.1489649172077657,1.2914495173653318
5,Christian,Vazquez,1/25/1949,Male,14635.52,15,5/30/2012,Monthly,IJ,15,False,,157.118.177.118,0.002372552,0.0,0.0,0.9173617959022522,3.989658510572667,-0.2090397859759599,-0.1489649172077657,1.2105512691296472
6,Tara,Villa,2/21/1958,Female,16914.44,51,9/27/2009,Monthly,WX,51,False,,137.250.6.167,0.003857869,0.0,0.0,1.1578112840652466,6.745463858329645,-0.2090397859759599,-0.1489649172077657,2.1291530517153063
7,Robert,Golden,10/16/1955,Male,13748.93,60,11/24/2011,Monthly,WX,60,False,,112.144.254.88,0.004255351,0.0,0.0,1.153066873550415,7.482938095302049,-0.2090397859759599,-0.1489649172077657,2.3749777973727744
8,Chris,Cook,05-01-1963,Male,7266.42,57,9/21/2010,Monthly,UV,57,False,,241.178.112.254,0.003680469,0.0,0.0,1.045472264289856,6.416322086780482,-0.2090397859759599,-0.1489649172077657,2.0194391278655854
9,Joseph,West,2/20/2001,Male,3033.55,40,1/27/2008,Monthly,WX,70,False,,82.165.113.93,0.003969951,0.0,0.0,0.9749094247817992,6.953416891242685,-0.2090397859759599,-0.1489649172077657,2.1984707293529864
10,Ariana,Massey,5/29/1994,Female,2037.19,54,8/28/2011,Monthly,GH,54,False,,42.241.22.21,0.00539187,0.0,0.0,1.2974929809570312,9.591595801385942,-0.2090397859759599,-0.1489649172077657,3.077863699400739
11,Dana,Nguyen,6/22/1962,Female,14032.63,76,10-10-2010,Monthly,AB,76,False,,177.69.125.163,0.005220016,0.0,0.0,1.0222762823104858,9.272743884769204,-0.2090397859759599,-0.1489649172077657,2.9715797271951594
12,Melinda,Massey,8/28/1938,Female,7816.32,21,4/15/2012,Monthly,IJ,21,False,,93.100.46.156,0.005399706,0.0,0.0,0.8552513122558594,9.606134442433628,-0.2090397859759599,-0.1489649172077657,3.082709913083301
